,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,0001.HK,0005.HK,0016.HK,0288.HK,0388.HK,0823.HK,0883.HK,2020.HK,2269.HK,2628.HK,^HSI,0001.HK,0005.HK,0016.HK,0288.HK,0388.HK,0823.HK,0883.HK,2020.HK,2269.HK,2628.HK,^HSI,0001.HK,0005.HK,0016.HK,0288.HK,0388.HK,0823.HK,0883.HK,2020.HK,2269.HK,2628.HK,^HSI,0001.HK,0005.HK,0016.HK,0288.HK,0388.HK,0823.HK,0883.HK,2020.HK,2269.HK,2628.HK,^HSI,0001.HK,0005.HK,0016.HK,0288.HK,0388.HK,0823.HK,0883.HK,2020.HK,2269.HK,2628.HK,^HSI,0001.HK,0005.HK,0016.HK,0288.HK,0388.HK,0823.HK,0883.HK,2020.HK,2269.HK,2628.HK,^HSI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,49.79999923706055,57.72877883911133,111.0999984741211,4.820000171661377,352.3999938964844,62.70000076293945,11.359999656677246,118.4000015258789,65.25,14.399999618530273,21842.330078125,49.79999923706055,57.95000076293945,111.0999984741211,4.820000171661377,352.3999938964844,62.70000076293945,11.359999656677246,118.4000015258789,65.25,14.399999618530273,21842.330078125,51.04999923706055,58.150001525878906,115.0,4.96999979019165,365.20001220703125,64.80000305175781,11.380000114440918,121.19999694824219,66.19999694824219,14.739999771118164,22284.3203125,49.70000076293945,57.5,110.5,4.800000190734863,346.79998779296875,62.400001525878906,11.140000343322754,117.0,64.1500015258789,14.220000267028809,21631.55078125,51.04999923706055,58.04999923706055,114.80000305175781,4.909999847412109,362.0,64.80000305175781,11.300000190734863,120.5999984741211,65.69999694824219,14.680000305175781,22190.26953125,5405302,23734615,5007132,23751641,7575500,8072113,86571137,8116314,39669822,45620319,3304372200
2023-02-01,50.650001525878906,56.83221435546875,111.30000305175781,4.889999866485596,352.3999938964844,62.900001525878906,11.600000381469727,118.0999984741211,67.05000305175781,14.399999618530273,22072.1796875,50.650001525878906,57.04999923706055,111.30000305175781,4.889999866485596,352.3999938964844,62.900001525878906,11.600000381469727,118.0999984741211,67.05000305175781,14.399999618530273,22072.1796875,50.650001525878906,57.5,112.19999694824219,4.920000076293945,353.20001220703125,63.349998474121094,11.699999809265137,120.80000305175781,67.75,14.5,22072.1796875,49.849998474121094,56.099998474121094,110.5,4.829999923706055,345.0,62.0,11.239999771118164,116.0,64.30000305175781,14.220000267028809,21703.599609375,49.849998474121094,57.5,111.80000305175781,4.880000114440918,351.6000061035156,63.349998474121094,11.300000190734863,118.5999984741211,64.30000305175781,14.359999656677246,21920.80078125,4488356,23434279,3067928,14718529,5972337,4657826,100826450,5741624,22524464,26741957,2548571000
2023-02-02,50.400001525878906,57.429927825927734,111.0,4.869999885559082,352.3999938964844,64.30000305175781,11.539999961853027,117.19999694824219,68.0999984741211,14.100000381469727,21958.359375,50.400001525878906,57.650001525878906,111.0,4.869999885559082,352.3999938964844,64.30000305175781,11.539999961853027,117.19999694824219,68.0999984741211,14.100000381469727,21958.359375,51.0,57.849998474121094,113.4000015258789,4.949999809265137,361.6000061035156,64.8499984741211,11.600000381469727,118.9000015258789,69.80000305175781,14.5,22311.9609375,50.349998474121094,57.29999923706055,110.30000305175781,4.849999904632568,352.0,63.20000076293945,11.420000076293945,116.4000015258789,67.69999694824219,14.020000457763672,21930.529296875,50.95000076293945,57.70000076293945,113.19999694824219,4.929999828338623,356.0,63.849998474121094,11.579999923706055,118.9000015258789,68.0,14.4399995803833,22276.23046875,3430310,18001990,2731201,14263941,4635182,6851834,73627901,4786517,24138297,29191903,2401245600
2023-02-03,49.29999923706055,55.686607360839844,113.0999984741211,4.809999942779541,352.3999938964844,64.6500015258789,11.260000228881836,116.80000305175781,65.94999694824219,13.760000228881836,21660.470703125,49.29999923706055,55.900001525878906,113.0999984741211,4.809999942779541,352.3999938964844,64.6500015258789,11.260000228881836,116.80000305175781,65.94999694824219,13.760000228881836,21660.470703125,50.400001525878906,56.650001525878906,113.0999984741211,4.880000114440918,352.6000061035156,64.8499984741211,11.520000457763672,117.9000015258789,69.44999694824219,14.079999923706055,21820.779296875,48.900001525878906,55.5,111.0,4.71999979019165,345.0,64.05000305175781,11.180000305175781,113.9000015258789,65.80000305175781,13.600000381469727,21459.650390625,50.099998474121094,56.650001525878906,111.0999984741211,4.869999885559082,350.0,64.30000305175781,11.520000457763672,116.9000015258789,68.1500015258789,14.079999923706055,21811.080078125,5003801,29078788,4200839,23030728,4657440,4500190,83996373,3755346,18837663,43407914,2414664700
2023-02-06,48.70000076293945,56.38393020629883,112.19999694824219,4.739999771118164,337.6000061035156,62.900001525878906,11.15999984741211,113.0999984741211,63.5,13.460000038146973,21222.16015625,48.70000076293945,56.599998474121094,112.19999694824219,4.739999771118164,337.6000061035156,62.900001525878906,11.15999984741211,113.0999984741211,63.5,13.460000038146973,21222.16015625,49.20000076293945,56.79999923706055,112.9000015258789,4.769999980926514,347.3999938964844,64.4000015258789,11.239999771118164,114.5,63.70000076293945,13.520000457763672,21349.169921875,48.349998474121094,55.900001525878906,110.30000305175781,4.699999809265137,330.3999938964844,62.54999923706055,11.020000457763672,111.5999984741211,60.70000076293945,13.279999732971191,21085.720703125,49.20000076293945,56.0,112.9000015258789,4.769999980926514,347.3999938964844,64.3499984741211,11.220000267028809,114.5,63.5,13.4399995803833,21349.169921875,2694917,18785420,2672127,10297382,12313435,4952103,61145710,5623059,38136156,41765385,2314469800
2023-02-07,48.54999923706055,56.38393020629883,110.5,4.679999828338623,339.20001220703125,62.599998474121094,11.399999618530273,113.0999984741211,64.44999694824219,13.4399995803833,21298.69921875,48.54999923706055,56.599998474121094,110.5,4.679999828338623,339.20001220703125,62.599998474121094,11.399999618530273,113.0999984741211,64.44999694824219,13.4399995803833,21298.69921875,49.20000076293945,57.0,112.4000015258789,4.75,344.0,63.349998474121094,11.539999961853027,115.5999984741211,66.1500015258789,13.579999923706055,21512.2109375,48.5,56.599998474121094,109.9000015258789,4.670000076293945,337.6000061035156,62.400001525878906,11.180000305175781,112.4000015258789,63.400001525878906,13.380000114440918,21259.2109375,48.75,56.599998474121094,112.19999694824219,4.730000019073486,340.0,63.0,11.180000305175781,113.5,63.400001525878906,13.4399995803833,21288.390625,4581643,9938412,2877239,11324949,4308221,3179065,65609606,4782437,15581230,20885998,1777942000
2023-02-08,48.900001525878906,57.579349517822266,112.30000305175781,4.739999771118164,337.20001220703125,63.5,11.5600004196167,113.5,65.19999694824219,13.5,21283.51953125,48.900001525878906,57.79999923706055,112.30000305175781,4.739999771118164,337.20001220703125,63.5,11.5600004196167,113.5,65.19999694824219,13.5,21283.51953125,49.70000076293945,58.099998474121094,112.5,4.78000020980835,341.3999938964844,63.599998474121094,11.65999984741211,115.0999984741211,66.9000015258789,13.579999923706055,21443.48046875,48.5,56.900001525878906,110.69999694824219,4.690000057220459,334.6000061035156,62.650001525878906,11.479999542236328,111.5999984741211,64.19999694824219,13.359999656677246,21178.869140625,48.54999923706055,56.900001525878906,110.69999694824219,4.71999979019165,339.3999938964844,62.849998474121094,11.5,112.9000015258789,64.44999694824219,13.359999656677246,21283.900390625,3595270,21470580,2927696,17147502,3671177,3765036,76773150,2976113,13548492,17012788,1894498900
2023-02-09,49.349998474121094,57.778587341308594,112.0,4.75,343.3999938964844,62.79999923706055,11.460000038146973,115.4000015258789,65.69999694824219,13.979999542236328,21624.359375,49.349998474121094,58.0,112.0,4.75,343.3999938964844,62.79999923706055,11.460000038146973,115.4000015258789,65.69999694824219,13.979999542236328,21624.359375,49.45000076293945,58.0,112.0999984741211,4.760000228881836,344.0,63.0,11.65999984741211,115.80000305175781,66.30000305175781,14.020000457763672,21637.55078125,48.79999923706055,57.349998474121094,110.5999984741211,4.690000057220459,333.0,62.29999923706055,11.380000114440918,112.69999694824219,64.1500015258789,13.399999618530273,21151.26953125,48.900001525878906,57.599998474121094,111.5,4.699999809265137,335.0,62.900001525878906,11.539999961853027,113.19999694824219,64.3499984741211,13.420000076293945,21154.25,3099953,11986027,1535021,17303134,4608976,3666340,68582144,2854880,10337740,42428117,1933829700
